n,avgBubble,avgMerge,faster
1700,0.001875000,0.000151042,Merge
1750,0.002041667,0.000156250,Merge
1800,0.002125000,0.000161458,Merge
1850,0.002250000,0.000166667,Merge
1900,0.002375000,0.000156250,Merge
1950,0.002458333,0.000177083,Merge
2000,0.002500000,0.000171875,Merge
2100,0.002833333,0.000187500,Merge
2200,0.003250000,0.000192708,Merge
2300,0.003250000,0.000197917,Merge
2400,0.003833333,0.000213542,Merge
2500,0.004000000,0.000234375,Merge
2600,0.004416667,0.000244792,Merge
2700,0.005083333,0.000234375,Merge
2800,0.005000000,0.000239583,Merge
2900,0.005000000,0.000250000,Merge
3000,0.005666667,0.000255208,Merge
3100,0.006333333,0.000270833,Merge
3200,0.006666667,0.000291667,Merge
3300,0.007500000,0.000302083,Merge
3400,0.007666667,0.000322917,Merge
3500,0.008000000,0.000312500,Merge
3600,0.008500000,0.000312500,Merge
3700,0.010000000,0.000322917,Merge
3800,0.009333333,0.000322917,Merge
3900,0.010000000,0.000354167,Merge
4000,0.010666667,0.000354167,Merge
4100,0.011000000,0.000375000,Merge
4200,0.011333333,0.000364583,Merge
4300,0.012000000,0.000375000,Merge
4400,0.013000000,0.000427083,Merge
4500,0.013333333,0.000416667,Merge
4600,0.014000000,0.000427083,Merge
4700,0.013333333,0.000427083,Merge
4800,0.014333333,0.000437500,Merge
4900,0.015666667,0.000437500,Merge
5000,0.016000000,0.000447917,Merge
5100,0.016000000,0.000479167,Merge
5200,0.017333333,0.000468750,Merge
5300,0.018000000,0.000468750,Merge
5400,0.020000000,0.000562500,Merge
5500,0.019666667,0.000500000,Merge
5600,0.020333333,0.000500000,Merge
5700,0.020333333,0.000531250,Merge
5800,0.021666667,0.000510417,Merge
5900,0.022333333,0.000562500,Merge
6000,0.022666667,0.000531250,Merge
6100,0.024333333,0.000541667,Merge
6200,0.025666667,0.000583333,Merge
6300,0.026666667,0.000593750,Merge
6400,0.026333333,0.000604167,Merge
6500,0.027666667,0.000645833,Merge
6600,0.028000000,0.000604167,Merge
6700,0.028666667,0.000635417,Merge
6800,0.030666667,0.000645833,Merge
6900,0.031666667,0.000645833,Merge
7000,0.031666667,0.000645833,Merge
7100,0.033000000,0.000645833,Merge
7200,0.033666667,0.000770833,Merge
7300,0.034666667,0.000687500,Merge
7400,0.036000000,0.000666667,Merge
7500,0.036000000,0.000708333,Merge
7600,0.037000000,0.000708333,Merge
7700,0.037666667,0.000708333,Merge
7800,0.039666667,0.000708333,Merge
7900,0.041000000,0.000770833,Merge
8000,0.041333333,0.000770833,Merge
8100,0.041666667,0.000729167,Merge
8200,0.042333333,0.000791667,Merge
8300,0.044000000,0.000791667,Merge
8400,0.045666667,0.000833333,Merge
8500,0.048000000,0.000791667,Merge
8600,0.048333333,0.000791667,Merge
8700,0.048000000,0.000833333,Merge
8800,0.050000000,0.000812500,Merge
8900,0.050333333,0.000854167,Merge
9000,0.051666667,0.000854167,Merge
9100,0.055000000,0.000895833,Merge
9200,0.054333333,0.000833333,Merge
9300,0.055333333,0.000854167,Merge
9400,0.057000000,0.000854167,Merge
9500,0.057666667,0.000875000,Merge
9600,0.059333333,0.000916667,Merge
9700,0.062666667,0.000916667,Merge
9800,0.060666667,0.000895833,Merge
9900,0.064333333,0.000937500,Merge
10000,0.064333333,0.000958333,Merge
